"var","categoria","Sergio Massa por el Frente de Todos","Patricia Bullrich por Juntos por el Cambio","Horacio Rodríguez Larreta por Juntos por el Cambio","Juan Schiaretti por Juntos por el Cambio","Jose Luis Espert por Juntos por el Cambio","Javier Milei por la Libertad Avanza","Al candidato del Frente de Izquierda","En blanco","No sabe"
"P38","Horacio Rodríguez Larreta por Juntos por el Cambio",0.152,0.566,0.846,0.271,0.117,0.369,0.063,0.094,0.089
"P38","Sergio Massa por el Frente de Todos",0.792,0.067,0.03,0.096,0.782,0.075,0.378,0.22,0.412
"P38","En blanco",0.024,0.148,0.018,0.331,0.06,0.296,0.36,0.472,0.113
"P38","No sabe",0.032,0.219,0.106,0.302,0.041,0.26,0.199,0.214,0.386
"P39","Horacio Rodríguez Larreta por Juntos por el Cambio",0.177,0.6,0.877,0.31,0.13,0.428,0.069,0.043,0.101
"P39","Wado de Pedro por el Frente de Todos",0.748,0.04,0.028,0.057,0.756,0.047,0.593,0.453,0.593
"P39","En blanco",0.02,0.159,0.034,0.422,0.061,0.314,0.234,0.429,0.08
"P39","No sabe",0.055,0.201,0.061,0.211,0.053,0.211,0.104,0.075,0.226
"P40","Patricia Bullrich por Juntos por el Cambio",0.113,0.927,0.641,0.54,0.125,0.745,0.06,0.106,0.097
"P40","Sergio Massa por el Frente de Todos",0.809,0.032,0.104,0.089,0.802,0.057,0.471,0.264,0.45
"P40","En blanco",0.029,0.016,0.151,0.2,0.056,0.135,0.368,0.561,0.1
"P40","No sabe",0.049,0.025,0.104,0.171,0.017,0.063,0.101,0.069,0.353
"P41","Patricia Bullrich por Juntos por el Cambio",0.124,0.947,0.656,0.622,0.145,0.78,0.058,0.144,0.1
"P41","Wado de Pedro  por el Frente de Todos",0.754,0.027,0.075,0.068,0.729,0.05,0.615,0.39,0.614
"P41","En blanco",0.044,0.011,0.177,0.197,0.046,0.116,0.242,0.374,0.069
"P41","No sabe",0.078,0.015,0.092,0.113,0.08,0.054,0.085,0.092,0.217
"P42","Patricia Bullrich por Juntos por el Cambio",0.129,0.942,0.683,0.582,0.136,0.781,0.047,0.093,0.089
"P42","Daniel Scioli por el Frente de Todos",0.695,0.038,0.074,0.093,0.732,0.043,0.433,0.369,0.46
"P42","En blanco",0.075,0.012,0.142,0.174,0.052,0.119,0.453,0.44,0.126
"P42","No sabe",0.101,0.008,0.101,0.151,0.08,0.057,0.067,0.098,0.325
"P43","Horacio Rodríguez Larreta por Juntos por el Cambio",0.172,0.625,0.847,0.337,0.134,0.467,0.063,0.092,0.129
"P43","Daniel Scioli por el Frente de Todos",0.676,0.048,0.057,0.107,0.731,0.052,0.421,0.347,0.436
"P43","En blanco",0.068,0.146,0.076,0.361,0.061,0.312,0.446,0.475,0.128
