"var","categoria","Sergio Massa por el Frente de Todos","Wado de Pedro por el Frente de Todos","Daniel Scioli por el Frente de Todos","Patricia Bullrich por Juntos por el Cambio","Horacio Rodríguez Larreta por Juntos por el Cambio","Javier Milei por la Libertad Avanza","Al candidato del Frente de Izquierda","En blanco","No sabe"
"P45","Horacio Rodríguez Larreta por Juntos por el Cambio",0.117,0.059,0.141,0.641,0.801,0.416,0.06,0.119,0.175
"P45","Axel Kicillof por el Frente de Todos",0.743,0.883,0.542,0.027,0.065,0.036,0.417,0.18,0.215
"P45","En blanco",0.054,0.02,0.182,0.172,0.072,0.389,0.395,0.678,0.093
"P45","No sabe",0.086,0.038,0.135,0.16,0.062,0.159,0.128,0.023,0.517
"P46","Horacio Rodríguez Larreta por Juntos por el Cambio",0.139,0.111,0.2,0.451,0.761,0.098,0.063,0.113,0.211
"P46","Javier Milei por los liberales libertarios",0.206,0.12,0.205,0.304,0.155,0.798,0.121,0.217,0.072
"P46","En blanco",0.428,0.528,0.348,0.098,0.067,0.062,0.757,0.618,0.187
"P46","No sabe",0.227,0.241,0.247,0.147,0.017,0.042,0.059,0.052,0.53
"P47","Patricia Bullrich por Juntos por el Cambio",0.115,0.075,0.196,0.83,0.652,0.129,0.062,0.106,0.168
"P47","Javier Milei por los liberales libertarios",0.105,0.053,0.166,0.107,0.152,0.834,0.078,0.132,0.06
"P47","En blanco",0.574,0.669,0.429,0.025,0.129,0.028,0.777,0.656,0.212
"P47","No sabe",0.206,0.203,0.209,0.038,0.067,0.009,0.083,0.106,0.56
"P48","Javier Milei por los liberales libertarios",0.081,0.046,0.182,0.549,0.384,0.847,0.099,0.2,0.078
"P48","Sergio Massa por el Frente de Todos",0.793,0.766,0.508,0.056,0.149,0.106,0.339,0.157,0.213
"P48","En blanco",0.076,0.13,0.188,0.199,0.266,0.034,0.502,0.621,0.168
"P48","No sabe",0.05,0.058,0.122,0.196,0.201,0.013,0.06,0.022,0.541
"P49","Javier Milei por los liberales libertarios",0.09,0.031,0.231,0.547,0.424,0.93,0.094,0.184,0.081
"P49","Wado de Pedro  por el Frente de Todos",0.762,0.928,0.451,0.033,0.093,0.037,0.449,0.107,0.186
"P49","En blanco",0.079,0.023,0.186,0.21,0.3,0.016,0.431,0.629,0.13
"P49","No sabe",0.069,0.018,0.132,0.21,0.183,0.017,0.026,0.08,0.603
"P50","Javier Milei por los liberales libertarios",0.093,0.041,0.123,0.558,0.406,0.929,0.042,0.192,0.111
"P50","Daniel Scioli por el Frente de Todos",0.689,0.787,0.71,0.031,0.122,0.037,0.383,0.096,0.21
"P50","En blanco",0.129,0.106,0.064,0.218,0.298,0.013,0.508,0.623,0.169
"P50","No sabe",0.089,0.066,0.103,0.193,0.174,0.021,0.067,0.089,0.51
"P51","Javier Milei por los liberales libertarios",0.091,0.054,0.196,0.579,0.463,0.922,0.074,0.195,0.094
"P51","Axel Kicillof por el Frente de Todos",0.76,0.895,0.545,0.025,0.08,0.038,0.472,0.202,0.193
"P51","En blanco",0.071,0.025,0.197,0.212,0.331,0.014,0.392,0.584,0.197
"P51","No sabe",0.078,0.026,0.062,0.184,0.126,0.026,0.062,0.019,0.516
"P52","Lo votaría",0.703,0.399,0.276,0.095,0.113,0.156,0.116,0.139,0.11
"P52","Puede que lo vote",0.18,0.408,0.247,0.03,0.098,0.043,0.219,0.146,0.151
"P52","Nunca lo votaría",0.088,0.124,0.362,0.824,0.682,0.773,0.622,0.536,0.344
"P52","No sabe",0.029,0.069,0.115,0.051,0.107,0.028,0.043,0.179,0.395
"P53","Lo votaría",0.529,0.853,0.258,0.04,0.074,0.055,0.193,0.142,0.084
"P53","Puede que lo vote",0.237,0.093,0.28,0.02,0.07,0.045,0.242,0.121,0.145
"P53","Nunca lo votaría",0.177,0.051,0.375,0.912,0.765,0.873,0.538,0.571,0.357
"P53","No sabe",0.057,0.003,0.087,0.028,0.091,0.027,0.027,0.166,0.414
"P54","Lo votaría",0.421,0.398,0.504,0.034,0.057,0.038,0.052,0.102,0.074
"P54","Puede que lo vote",0.263,0.37,0.241,0.043,0.093,0.058,0.24,0.074,0.208
"P54","Nunca lo votaría",0.201,0.157,0.223,0.9,0.769,0.878,0.654,0.662,0.365
"P54","No sabe",0.115,0.075,0.032,0.023,0.081,0.026,0.054,0.162,0.353
"P55","Lo votaría",0.597,0.806,0.435,0.021,0.042,0.039,0.194,0.196,0.118
"P55","Puede que lo vote",0.193,0.098,0.187,0.029,0.053,0.026,0.208,0.024,0.111
"P55","Nunca lo votaría",0.16,0.077,0.308,0.93,0.869,0.928,0.55,0.651,0.446
"P55","No sabe",0.05,0.019,0.07,0.02,0.036,0.007,0.048,0.129,0.325
"P56","La votaría",0.169,0.136,0.129,0.822,0.345,0.282,0.026,0.131,0.07
"P56","Puede que la vote",0.07,0.036,0.151,0.048,0.287,0.411,0.052,0.151,0.133
"P56","Nunca la votaría",0.718,0.813,0.628,0.121,0.297,0.286,0.914,0.56,0.503
"P56","No sabe",0.043,0.015,0.092,0.009,0.071,0.021,0.008,0.158,0.294
"P57","Lo votaría",0.088,0.048,0.101,0.336,0.599,0.103,0.013,0.094,0.105
"P57","Puede que lo vote",0.124,0.068,0.082,0.352,0.167,0.255,0.063,0.197,0.234
"P57","Nunca lo votaría",0.726,0.852,0.723,0.242,0.181,0.605,0.851,0.557,0.356
"P57","No sabe",0.062,0.032,0.094,0.07,0.053,0.037,0.073,0.152,0.305
"P58","Lo votaría",0.05,0.026,0.219,0.204,0.243,0.802,0.055,0.184,0.033
"P58","Puede que lo vote",0.108,0.057,0.085,0.397,0.204,0.075,0.042,0.117,0.121
"P58","Nunca lo votaría",0.801,0.894,0.653,0.323,0.473,0.113,0.903,0.554,0.566
"P58","No sabe",0.041,0.023,0.043,0.076,0.08,0.01,0,0.145,0.28
"P59","Lo votaría",0.049,0.03,0.127,0.072,0.103,0.138,0.068,0.189,0.115
"P59","Puede que lo vote",0.215,0.087,0.138,0.146,0.233,0.108,0.049,0.055,0.133
"P59","Nunca lo votaría",0.653,0.839,0.625,0.699,0.488,0.67,0.812,0.595,0.429
"P59","No sabe",0.083,0.044,0.11,0.083,0.176,0.084,0.071,0.161,0.323
"P60","Lo votaría",0.045,0.025,0.07,0.202,0.149,0.179,0.056,0.183,0.032
"P60","Puede que lo vote",0.139,0.042,0.156,0.402,0.296,0.342,0.037,0.062,0.157
"P60","Nunca lo votaría",0.748,0.911,0.652,0.3,0.417,0.41,0.848,0.608,0.474
"P60","No sabe",0.068,0.022,0.122,0.096,0.138,0.069,0.059,0.147,0.337
"P61","Muy buena",0.438,0.148,0.146,0.048,0.044,0.03,0.028,0.032,0.047
"P61","Buena",0.29,0.356,0.235,0.057,0.083,0.085,0.068,0.044,0.104
"P61","Ni buena ni mala",0.162,0.355,0.242,0.084,0.188,0.11,0.24,0.276,0.262
"P61","Mala",0.033,0.079,0.144,0.177,0.213,0.156,0.313,0.098,0.225
"P61","Muy mala",0.077,0.06,0.233,0.623,0.464,0.599,0.347,0.537,0.201
"P61","No sabe",0,0.002,0,0.011,0.008,0.02,0.004,0.013,0.161
"P62","Muy buena",0.369,0.707,0.237,0.033,0.046,0.034,0.123,0.074,0.042
"P62","Buena",0.317,0.192,0.175,0.011,0.033,0.031,0.184,0.034,0.133
"P62","Ni buena ni mala",0.134,0.062,0.215,0.106,0.249,0.139,0.22,0.188,0.286
"P62","Mala",0.071,0.015,0.138,0.226,0.165,0.164,0.137,0.139,0.121
"P62","Muy mala",0.095,0.022,0.162,0.583,0.446,0.613,0.316,0.545,0.193
"P62","No sabe",0.014,0.002,0.073,0.041,0.061,0.019,0.02,0.02,0.225
"P63","Muy buena",0.264,0.174,0.423,0.025,0.062,0.019,0.022,0.087,0.077
