"var","categoria","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios","A los candidatos de la izquierda","No sabe"
"P64","No sabe",0.003,0,0.013,0,0.007
"P65","Muy buena",0.42,0.096,0.226,0.026,0.258
"P65","Buena",0.292,0.02,0.226,0.007,0.168
"P65","Ni buena ni mala",0.14,0.024,0.198,0.042,0.136
"P65","Mala",0.044,0.075,0.174,0.146,0.172
"P65","Muy mala",0.103,0.784,0.17,0.779,0.266
"P65","No sabe",0.001,0.001,0.006,0,0
"P66","Muy buena",0.338,0.033,0.047,0,0.046
"P66","Buena",0.421,0.019,0.143,0.049,0.23
"P66","Ni buena ni mala",0.171,0.057,0.218,0.078,0.289
"P66","Mala",0.033,0.169,0.265,0.097,0.274
"P66","Muy mala",0.034,0.722,0.321,0.776,0.161
"P66","No sabe",0.003,0,0.006,0,0
"P67","Muy buena",0.034,0.155,0.012,0.024,0.03
"P67","Buena",0.045,0.456,0.027,0.1,0.066
"P67","Ni buena ni mala",0.073,0.225,0.068,0.143,0.14
"P67","Mala",0.205,0.055,0.213,0.381,0.221
"P67","Muy mala",0.637,0.106,0.673,0.352,0.496
"P67","No sabe",0.006,0.003,0.007,0,0.047
"P68","Muy buena",0.6,0.027,0.43,0.044,0.398
"P68","Buena",0.206,0.053,0.282,0.007,0.156
"P68","Ni buena ni mala",0.085,0.037,0.125,0.021,0.109
