"var","categoria","Alberto Fernández por el Frente de Todos","Horacio Rodríguez Larreta por Juntos por el Cambio","Javier Milei por los liberales libertarios","Al candidato del Frente de Izquierda","No sabe"
"P45","No sabe",0.12,0.036,0.521,0.445,0.496
"P46","Wado de Pedro por el Frente de Todos",0.796,0.034,0.048,0.521,0.27
"P46","Patricia Bullrich por Juntos por el Cambio",0.041,0.864,0.661,0.125,0.396
"P46","No sabe",0.163,0.102,0.291,0.354,0.334
"P47","Daniel Scioli por el Frente de Todos",0.849,0.041,0.042,0.422,0.26
"P47","Patricia Bullrich por Juntos por el Cambio",0.048,0.87,0.686,0.145,0.405
"P47","No sabe",0.103,0.089,0.272,0.433,0.335
"P48","Horacio Rodríguez Larreta por Juntos por el Cambio",0.265,0.765,0.053,0.244,0.204
"P48","Javier Milei por los liberales libertarios",0.037,0.176,0.849,0.029,0.139
"P48","No sabe",0.698,0.059,0.098,0.727,0.657
"P49","Patricia Bullrich por Juntos por el Cambio",0.101,0.826,0.21,0.138,0.401
"P49","Javier Milei por los liberales libertarios",0.056,0.08,0.728,0.039,0.047
"P49","No sabe",0.843,0.094,0.062,0.823,0.552
"P50","Alberto Fernández por el Frente de Todos",0.822,0.145,0.049,0.426,0.218
"P50","Javier Milei por los liberales libertarios",0.034,0.402,0.893,0.084,0.152
"P50","No sabe",0.144,0.453,0.058,0.49,0.63
"P51","Sergio Massa por el Frente de Todos",0.857,0.074,0.025,0.455,0.286
"P51","Javier Milei por los liberales libertarios",0.033,0.493,0.92,0.055,0.176
"P51","No sabe",0.11,0.433,0.055,0.49,0.538
"P52","Muy buena",0.228,0.011,0.017,0.118,0.042
"P52","Buena",0.341,0.08,0.114,0.055,0.059
"P52","Ni buena ni mala",0.312,0.088,0.059,0.198,0.218
"P52","Mala",0.078,0.094,0.052,0.273,0.195
"P52","Muy mala",0.041,0.724,0.754,0.327,0.462
"P52","No sabe",0,0.003,0.004,0.029,0.024
"P53","Muy buena",0.637,0.02,0.025,0.355,0.252
"P53","Buena",0.166,0.019,0.029,0.129,0.059
"P53","Ni buena ni mala",0.103,0.014,0.044,0.086,0.087
"P53","Mala",0.05,0.054,0.044,0.109,0.076
"P53","Muy mala",0.044,0.888,0.854,0.321,0.502
"P53","No sabe",0,0.005,0.004,0,0.024
"P54","Muy buena",0.099,0.359,0.132,0.082,0.211
"P54","Buena",0.02,0.284,0.204,0.058,0.104
"P54","Ni buena ni mala",0.044,0.141,0.279,0.045,0.142
"P54","Mala",0.148,0.066,0.143,0.121,0.126
"P54","Muy mala",0.687,0.147,0.24,0.659,0.398
"P54","No sabe",0.002,0.003,0.002,0.035,0.019
"P55","Muy buena",0.035,0.3,0.059,0.065,0.088
"P55","Buena",0.038,0.456,0.135,0.07,0.129
"P55","Ni buena ni mala",0.101,0.184,0.296,0.065,0.268
"P55","Mala",0.219,0.037,0.194,0.232,0.144
"P55","Muy mala",0.592,0.022,0.309,0.558,0.344
"P55","No sabe",0.015,0.001,0.007,0.01,0.027
"P56","Muy buena",0.172,0.053,0.017,0.036,0.067
"P56","Buena",0.369,0.089,0.033,0.155,0.116
"P56","Ni buena ni mala",0.288,0.081,0.117,0.226,0.23
"P56","Mala",0.081,0.154,0.134,0.257,0.141
"P56","Muy mala",0.077,0.62,0.692,0.326,0.417
"P56","No sabe",0.013,0.003,0.007,0,0.029
"P57","Muy buena",0.063,0.459,0.297,0.076,0.269
"P57","Buena",0.053,0.213,0.223,0.048,0.105
"P57","Ni buena ni mala",0.093,0.12,0.205,0.103,0.122
"P57","Mala",0.092,0.064,0.089,0.095,0.099
"P57","Muy mala",0.681,0.143,0.181,0.678,0.376
"P57","No sabe",0.018,0.001,0.005,0,0.029
