"var","categoria","Lo votaría","Puede que lo vote","Nunca lo votaría","No sabe"
"P29","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.564,0.438,0.201,0.194
"P29","Horacio Rodríguez Larreta presidente - Diego Santilli gobernador por Juntos por el Cambio",0.107,0.091,0.101,0.105
"P29","Facundo Manes presidente - Maximiliano Abad gobernador por Juntos por el Cambio",0.042,0.058,0.046,0.041
"P29","José Luis Espert presidente y su candidato a gobernador por Juntos por el Cambio",0.002,0.035,0.02,0.02
"P29","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.074,0.116,0.172,0.171
"P29","A los candidatos del Frente de Izquierda",0.011,0.027,0.04,0.049
"P29","No sabe",0.032,0.057,0.109,0.156
"P30","Daniel Scioli presidente – Axel Kicillof gobernador por el Frente de Todos",0.273,0.274,0.311,0.265
"P30","Horacio Rodríguez Larreta presidente – Diego Santilli gobernador por Juntos por el Cambio",0.292,0.303,0.254,0.258
"P30","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.269,0.245,0.25,0.222
"P30","A los candidatos del Frente de Izquierda",0.018,0.039,0.036,0.042
"P30","No sabe",0.148,0.139,0.149,0.213
"P31","Daniel Scioli presidente – Axel Kicillof gobernador por el Frente de Todos",0.337,0.354,0.333,0.302
"P31","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.471,0.381,0.271,0.277
"P31","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.118,0.168,0.235,0.215
