"var","categoria","Horacio Rodríguez Larreta presidente – Jorge Macri Jefe de Gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios","A los candidatos de la izquierda","No sabe"
"P47","Leandro Santoro por el Frente de Todos",0.066,0.89,0.063,0.402,0.132
"P47","No sabe",0.132,0.028,0.45,0.531,0.498
"P48","Fernán Quirós por Juntos por el Cambio",0.872,0.11,0.523,0.131,0.513
"P48","Leandro Santoro por el Frente de Todos",0.063,0.863,0.054,0.415,0.119
"P48","No sabe",0.065,0.027,0.423,0.454,0.368
"P49","Martín Lousteau por Juntos por el Cambio",0.833,0.102,0.444,0.159,0.563
"P49","Leandro Santoro por el Frente de Todos",0.06,0.872,0.045,0.444,0.113
"P49","No sabe",0.107,0.026,0.511,0.397,0.324
"P50","María Eugenia Vidal por Juntos por el Cambio",0.85,0.09,0.45,0.101,0.421
"P50","Leandro Santoro por el Frente de Todos",0.067,0.892,0.045,0.458,0.146
"P50","No sabe",0.083,0.018,0.505,0.441,0.433
"P51","Muy buena",0.426,0.094,0.091,0.051,0.139
"P51","Buena",0.405,0.121,0.259,0.114,0.319
"P51","Ni buena ni mala",0.108,0.103,0.276,0.163,0.318
"P51","Mala",0.024,0.245,0.206,0.258,0.162
"P51","Muy mala",0.032,0.433,0.147,0.414,0.042
"P51","No sabe",0.005,0.004,0.021,0,0.02
"P52","Muy buena",0.414,0.046,0.189,0.03,0.195
"P52","Buena",0.332,0.054,0.228,0.017,0.198
"P52","Ni buena ni mala",0.17,0.142,0.335,0.1,0.339
"P52","Mala",0.035,0.236,0.121,0.321,0.15
"P52","Muy mala",0.028,0.504,0.086,0.526,0.074
"P52","No sabe",0.021,0.018,0.041,0.006,0.044
"P53","Muy buena",0.06,0.581,0.046,0.126,0.083
"P53","Buena",0.074,0.211,0.051,0.092,0.102
"P53","Ni buena ni mala",0.247,0.054,0.209,0.167,0.227
"P53","Mala",0.283,0.051,0.243,0.237,0.183
"P53","Muy mala",0.279,0.095,0.429,0.331,0.298
"P53","No sabe",0.057,0.008,0.022,0.047,0.107
"P54","Muy buena",0.378,0.1,0.087,0.071,0.156
"P54","Buena",0.332,0.041,0.21,0.051,0.247
"P54","Ni buena ni mala",0.151,0.045,0.255,0.079,0.238
"P54","Mala",0.064,0.132,0.203,0.187,0.18
"P54","Muy mala",0.074,0.675,0.24,0.612,0.141
"P54","No sabe",0.001,0.007,0.005,0,0.038
"P55","Muy buena",0.28,0.048,0.081,0.057,0.065
"P55","Buena",0.369,0.041,0.193,0.046,0.17
"P55","Ni buena ni mala",0.203,0.076,0.366,0.124,0.373
"P55","Mala",0.052,0.117,0.174,0.141,0.109
"P55","Muy mala",0.061,0.703,0.101,0.59,0.154
"P55","No sabe",0.035,0.015,0.085,0.042,0.129
"P56","Muy buena",0.304,0.055,0.089,0.121,0.218
"P56","Buena",0.317,0.08,0.104,0.034,0.202
"P56","Ni buena ni mala",0.22,0.136,0.278,0.17,0.238
"P56","Mala",0.093,0.311,0.254,0.275,0.141
"P56","Muy mala",0.055,0.415,0.266,0.364,0.125
"P56","No sabe",0.011,0.003,0.009,0.036,0.076
"P57","Muy buena",0.038,0.228,0.026,0.063,0.096
"P57","Buena",0.084,0.358,0.024,0.064,0.032
"P57","Ni buena ni mala",0.22,0.217,0.171,0.332,0.196
"P57","Mala",0.287,0.07,0.261,0.263,0.268
"P57","Muy mala",0.334,0.119,0.458,0.242,0.282
"P57","No sabe",0.037,0.008,0.06,0.036,0.126
"P58","Muy buena",0.435,0.077,0.378,0.029,0.271
"P58","Buena",0.248,0.049,0.245,0.077,0.219
"P58","Ni buena ni mala",0.182,0.094,0.231,0.115,0.233
"P58","Mala",0.057,0.11,0.048,0.139,0.076
"P58","Muy mala",0.066,0.669,0.086,0.64,0.104
"P58","No sabe",0.012,0.001,0.012,0,0.097
"P59","Muy buena",0.635,0.097,0.239,0.085,0.28
"P59","Buena",0.203,0.141,0.226,0.062,0.272
"P59","Ni buena ni mala",0.101,0.271,0.308,0.232,0.261
"P59","Mala",0.015,0.178,0.099,0.233,0.06
"P59","Muy mala",0.03,0.296,0.091,0.364,0.016
"P59","No sabe",0.016,0.017,0.037,0.024,0.111
"P60","Muy buena",0.063,0.341,0.024,0.056,0.064
"P60","Buena",0.036,0.314,0.036,0.128,0.034
"P60","Ni buena ni mala",0.145,0.143,0.17,0.301,0.153
"P60","Mala",0.26,0.071,0.17,0.171,0.212
"P60","Muy mala",0.448,0.088,0.486,0.263,0.442
"P60","No sabe",0.048,0.043,0.114,0.081,0.095
"P61","Muy buena",0.016,0.189,0.004,0.059,0.013
