"var","categoria","Horacio Rodríguez Larreta presidente - Jorge Macri Jefe de Gobierno por Juntos por el Cambio","Patricia Bullrich presidenta – Ricardo López Murphy Jefe de Gobierno por Juntos por el Cambio","A Martín Lousteau como Jefe de Gobierno","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa","Alberto Fernández presidente – Matias Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios","A los candidatos de la izquierda","No sabe"
"P27","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.307,0.386,0.155,0.003,0.017,0.095,0.013,0.114
"P27","Patricia Bullrich presidenta – Ricardo López Murphy Jefe de Gobierno por Juntos por el Cambio",0.08,0.495,0.124,0.005,0.021,0.083,0.034,0.032
"P27","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio",0.09,0.018,0.035,0.014,0.005,0,0,0.057
"P27","Horacio Rodríguez Larreta presidente– Fernán Quirós Jefe de Gobierno por Juntos por el Cambio",0.21,0.047,0.126,0.02,0.016,0.027,0.005,0.06
"P27","Horacio Rodríguez Larreta presidente – Martín Lousteau Jefe de Gobierno por Juntos por el Cambio",0.263,0.042,0.475,0.008,0.032,0.022,0.034,0.062
"P27","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.027,0.004,0.025,0.717,0.372,0.015,0.071,0.064
"P27","Alberto Fernández presidente – Matías Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.015,0,0.012,0.215,0.484,0.022,0.053,0.056
"P27","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertario",0.008,0.008,0.033,0,0.004,0.734,0.203,0.366
"P27","A los candidatos de la izquierda",0,0,0.015,0.018,0.049,0.002,0.587,0.189
"P27","No sabe",0,0,0,0,0,0,0,0
"P28","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.33,0.526,0.106,0.005,0.042,0.071,0,0.101
"P28","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio",0.236,0.054,0.07,0.01,0,0.017,0,0.059
"P28","A Martín Lousteau como Jefe de Gobierno",0.245,0.083,0.682,0.026,0.115,0.028,0.052,0.073
"P28","A Ricardo López Murphy como Jefe de Gobierno",0.1,0.29,0.064,0.027,0.015,0.056,0.004,0.048
"P28","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.017,0.003,0.022,0.847,0.466,0.016,0.156,0.107
"P28","Sergio Massa presidente – Matías Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.028,0.009,0.017,0.058,0.338,0.045,0.046,0.064
"P28","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.013,0.023,0.015,0,0.011,0.716,0.278,0.008
"P28","A los candidatos de izquierda",0,0.003,0.003,0.008,0,0.043,0.327,0.427
"P28","No sabe",0.031,0.009,0.021,0.019,0.013,0.008,0.137,0.113
