"var","categoria","Sergio Massa presidente - Axel Kicillof gobernador por el Frente de Todos","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio","Horacio Rodríguez Larreta presidente - Diego Santilli gobernador por Juntos por el Cambio","María Eugenia Vidal presidenta - Cristian Ritondo gobernador por Juntos por el Cambio","Facundo Manes presidente - Maximiliano Abad gobernador por Juntos por el Cambio","José Luis Espert presidente y su candidato a gobernador por Juntos por el Cambio","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza","A los candidatos del Frente de Izquierda","No sabe"
"P42","Ni buena ni mala",0.162,0.217,0.241,0.159,0.362,0.281,0.31,0.254,0.214
"P42","Mala",0.224,0.043,0.131,0.062,0.163,0.157,0.186,0.147,0.22
"P42","Muy mala",0.513,0.074,0.144,0.076,0.094,0.154,0.224,0.39,0.399
"P42","No sabe",0.051,0.027,0.052,0.151,0.09,0.06,0.1,0.088,0.112
"P43","Muy buena",0.023,0.209,0.092,0.106,0.087,0.028,0.033,0.006,0.016
"P43","Buena",0.02,0.317,0.161,0.15,0.208,0.276,0.073,0.072,0.007
"P43","Ni buena ni mala",0.208,0.26,0.327,0.318,0.34,0.329,0.378,0.242,0.265
"P43","Mala",0.177,0.034,0.087,0.076,0.092,0.035,0.115,0.107,0.177
"P43","Muy mala",0.413,0.068,0.125,0.106,0.04,0.14,0.171,0.378,0.299
"P43","No sabe",0.159,0.112,0.208,0.244,0.233,0.192,0.23,0.195,0.236
"P44","Muy buena",0.012,0.088,0.067,0.044,0.062,0.022,0.084,0.065,0.006
"P44","Buena",0.021,0.224,0.125,0.134,0.089,0.099,0.156,0.069,0.022
"P44","Ni buena ni mala",0.133,0.422,0.328,0.38,0.355,0.484,0.353,0.278,0.171
"P44","Mala",0.183,0.098,0.153,0.127,0.237,0.067,0.1,0.076,0.169
"P44","Muy mala",0.561,0.102,0.196,0.151,0.136,0.227,0.165,0.377,0.454
"P44","No sabe",0.09,0.066,0.131,0.164,0.121,0.101,0.142,0.135,0.178
"P45","Muy buena",0.016,0.25,0.106,0.136,0.06,0.603,0.28,0.129,0.004
"P45","Buena",0.03,0.315,0.213,0.229,0.214,0.11,0.279,0.157,0.061
"P45","Ni buena ni mala",0.094,0.259,0.292,0.305,0.35,0.078,0.253,0.223,0.154
"P45","Mala",0.185,0.062,0.12,0.147,0.165,0.006,0.068,0.104,0.174
"P45","Muy mala",0.622,0.077,0.198,0.116,0.153,0.155,0.046,0.331,0.484
"P45","No sabe",0.053,0.037,0.071,0.067,0.058,0.048,0.074,0.056,0.123
"P46","Muy buena",0.037,0.077,0.069,0.102,0.093,0.08,0.061,0.065,0.054
"P46","Buena",0.076,0.119,0.211,0.158,0.114,0.049,0.228,0.135,0.045
"P46","Ni buena ni mala",0.243,0.296,0.289,0.372,0.335,0.413,0.326,0.291,0.254
"P46","Mala",0.22,0.197,0.186,0.143,0.092,0.112,0.175,0.112,0.217
"P46","Muy mala",0.39,0.255,0.194,0.192,0.321,0.332,0.149,0.352,0.362
"P46","No sabe",0.034,0.056,0.051,0.033,0.045,0.014,0.061,0.045,0.068
"P47","Muy buena",0.199,0.025,0.054,0.054,0.047,0.015,0.01,0.033,0.076
