"var","categoria","Wado de Pedro presidente – Axel Kicillof gobernador por el Frente de Todos","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza","A los candidatos del Frente de Izquierda","No sabe"
"P43","Ni buena ni mala",0.189,0.294,0.369,0.12,0.293
"P43","Mala",0.19,0.02,0.094,0.274,0.13
"P43","Muy mala",0.441,0.031,0.186,0.423,0.197
"P43","No sabe",0.147,0.146,0.202,0.173,0.313
"P44","Muy buena",0.007,0.087,0.089,0,0.016
"P44","Buena",0.015,0.223,0.133,0.01,0.045
"P44","Ni buena ni mala",0.11,0.404,0.383,0.198,0.324
"P44","Mala",0.193,0.106,0.089,0.142,0.158
"P44","Muy mala",0.599,0.088,0.174,0.571,0.231
"P44","No sabe",0.076,0.092,0.132,0.079,0.226
"P45","Muy buena",0.009,0.236,0.259,0.024,0.031
"P45","Buena",0.016,0.323,0.266,0,0.101
"P45","Ni buena ni mala",0.075,0.3,0.259,0.076,0.255
"P45","Mala",0.188,0.054,0.091,0.262,0.15
"P45","Muy mala",0.674,0.049,0.067,0.608,0.261
"P45","No sabe",0.038,0.038,0.058,0.03,0.202
"P46","Muy buena",0.035,0.061,0.094,0.032,0.088
"P46","Buena",0.063,0.136,0.229,0.043,0.092
"P46","Ni buena ni mala",0.229,0.336,0.313,0.14,0.309
"P46","Mala",0.223,0.183,0.157,0.206,0.144
"P46","Muy mala",0.424,0.24,0.151,0.565,0.252
"P46","No sabe",0.026,0.044,0.056,0.014,0.115
"P47","Muy buena",0.2,0.016,0.021,0.008,0.054
"P47","Buena",0.311,0.021,0.046,0.111,0.094
"P47","Ni buena ni mala",0.275,0.092,0.114,0.183,0.227
"P47","Mala",0.106,0.16,0.1,0.211,0.11
"P47","Muy mala",0.087,0.677,0.67,0.46,0.367
"P47","No sabe",0.021,0.034,0.049,0.027,0.148
"P48","Muy buena",0.108,0.009,0.006,0.015,0.074
"P48","Buena",0.391,0.011,0.008,0.114,0.087
"P48","Ni buena ni mala",0.319,0.026,0.037,0.304,0.227
"P48","Mala",0.142,0.089,0.094,0.292,0.158
"P48","Muy mala",0.031,0.854,0.84,0.275,0.415
"P48","No sabe",0.009,0.011,0.015,0,0.039
"P49","Muy buena",0.127,0.01,0.013,0.109,0.074
"P49","Buena",0.32,0.012,0.007,0.07,0.1
"P49","Ni buena ni mala",0.311,0.034,0.029,0.221,0.206
"P49","Mala",0.169,0.085,0.082,0.368,0.163
"P49","Muy mala",0.071,0.855,0.856,0.232,0.429
"P49","No sabe",0.002,0.004,0.013,0,0.028
"P50","Muy buena",0.74,0.019,0.014,0.18,0.248
"P50","Buena",0.116,0.005,0.013,0.108,0.089
"P50","Ni buena ni mala",0.075,0.018,0.043,0.134,0.11
"P50","Mala",0.032,0.052,0.049,0.23,0.089
"P50","Muy mala",0.037,0.904,0.873,0.289,0.41
"P50","No sabe",0,0.002,0.008,0.059,0.054
"P51","Muy buena",0.101,0.386,0.147,0.035,0.125
"P51","Buena",0.017,0.261,0.17,0.025,0.066
"P51","Ni buena ni mala",0.02,0.144,0.207,0.066,0.153
"P51","Mala",0.126,0.054,0.154,0.147,0.248
"P51","Muy mala",0.732,0.153,0.314,0.727,0.368
"P51","No sabe",0.004,0.002,0.008,0,0.04
"P52","Muy buena",0.016,0.235,0.075,0.017,0.101
"P52","Buena",0.021,0.406,0.146,0.051,0.108
"P52","Ni buena ni mala",0.074,0.242,0.233,0.101,0.293
"P52","Mala",0.21,0.059,0.163,0.329,0.181
"P52","Muy mala",0.672,0.054,0.371,0.497,0.282
"P52","No sabe",0.007,0.004,0.012,0.005,0.035
"P53","Muy buena",0.129,0.047,0.008,0.029,0.095
"P53","Buena",0.35,0.083,0.063,0.076,0.141
"P53","Ni buena ni mala",0.288,0.064,0.105,0.244,0.244
"P53","Mala",0.111,0.107,0.127,0.231,0.139
"P53","Muy mala",0.109,0.692,0.688,0.42,0.325
"P53","No sabe",0.013,0.007,0.009,0,0.056
"P54","Muy buena",0.029,0.595,0.234,0.01,0.061
"P54","Buena",0.054,0.242,0.221,0.039,0.116
"P54","Ni buena ni mala",0.063,0.051,0.179,0.045,0.228
"P54","Mala",0.104,0.025,0.106,0.159,0.195
"P54","Muy mala",0.742,0.08,0.25,0.742,0.352
"P54","No sabe",0.008,0.007,0.01,0.005,0.048
"P55","Muy buena",0.013,0.173,0.652,0.016,0.052
"P55","Buena",0.02,0.201,0.198,0.017,0.056
"P55","Ni buena ni mala",0.048,0.32,0.088,0.05,0.275
"P55","Mala",0.113,0.136,0.022,0.08,0.135
"P55","Muy mala",0.801,0.139,0.024,0.827,0.395
"P55","No sabe",0.005,0.031,0.016,0.01,0.087
"P56","Muy buena",0.013,0.303,0.153,0.006,0.077
"P56","Buena",0.016,0.371,0.2,0.036,0.187
"P56","Ni buena ni mala",0.029,0.203,0.22,0.1,0.183
"P56","Mala",0.152,0.06,0.167,0.123,0.172
"P56","Muy mala",0.788,0.06,0.245,0.725,0.323
"P56","No sabe",0.002,0.003,0.015,0.01,0.058
"P57","Muy buena",0.163,0.071,0.023,0.049,0.049
"P57","Buena",0.438,0.062,0.056,0.05,0.141
"P57","Ni buena ni mala",0.206,0.115,0.124,0.273,0.296
"P57","Mala",0.067,0.16,0.157,0.253,0.132
"P57","Muy mala",0.125,0.586,0.621,0.375,0.36
"P57","No sabe",0.001,0.006,0.019,0,0.022
"P58","Muy buena",0.037,0.108,0.07,0.063,0.071
"P58","Buena",0.138,0.195,0.115,0.201,0.151
"P58","Ni buena ni mala",0.384,0.356,0.267,0.26,0.355
"P58","Mala",0.215,0.149,0.146,0.193,0.126
"P58","Muy mala",0.18,0.165,0.32,0.243,0.199
"P58","No sabe",0.046,0.027,0.082,0.04,0.098
"P59","Siempre",0.305,0.341,0.265,0.304,0.248
"P59","Casi siempre",0.416,0.401,0.341,0.399,0.384
"P59","Casi nunca",0.202,0.189,0.279,0.192,0.233
"P59","Nunca, pero esta es una excepción",0.077,0.069,0.115,0.105,0.135
"P60","Si",0.614,0.586,0.585,0.627,0.466
"P60","No",0.386,0.414,0.415,0.373,0.534
