"var","categoria","A Julio Zamora por el Frente de Todos","A Segundo Cernadas por Juntos por el Cambio","Al candidato de los liberales libertarios","A Paula Akerfeld por el Frente de Izquierda","No sabe"
"P42","Buena",0.303,0.098,0.091,0.198,0.137
"P42","Ni buena ni mala",0.194,0.267,0.163,0.091,0.298
"P42","Mala",0.051,0.231,0.138,0,0.206
"P42","Muy mala",0.082,0.295,0.531,0.516,0.206
"P42","No sabe",0.006,0.032,0.015,0.009,0.074
"P43","Muy buena",0.095,0.328,0.069,0.015,0.026
"P43","Buena",0.104,0.344,0.164,0.235,0.151
"P43","Ni buena ni mala",0.235,0.211,0.337,0.098,0.346
"P43","Mala",0.183,0.025,0.136,0.084,0.108
"P43","Muy mala",0.341,0.062,0.272,0.568,0.193
"P43","No sabe",0.042,0.03,0.022,0,0.176
"P44","Muy buena",0.055,0.236,0.074,0.06,0.048
"P44","Buena",0.091,0.261,0.222,0.158,0.147
"P44","Ni buena ni mala",0.243,0.346,0.336,0.301,0.365
"P44","Mala",0.206,0.034,0.095,0.057,0.096
"P44","Muy mala",0.307,0.036,0.218,0.424,0.148
"P44","No sabe",0.098,0.087,0.055,0,0.196
"P45","Muy buena",0.303,0.108,0.034,0.087,0.037
"P45","Buena",0.395,0.143,0.12,0.384,0.105
"P45","Ni buena ni mala",0.172,0.304,0.278,0.135,0.3
"P45","Mala",0.031,0.217,0.178,0.286,0.256
"P45","Muy mala",0.068,0.211,0.369,0.108,0.184
"P45","No sabe",0.031,0.017,0.021,0,0.118
"P46","Que continúe el intendente Julio Zamora",0.297,0.095,0.046,0.062,0.082
"P46","Que continúe Julio Zamora pero con mejoras",0.416,0.073,0.108,0.409,0.181
"P46","Que cambie Julio Zamora pero que se mantengan los avances",0.164,0.2,0.172,0.227,0.174
"P46","Que cambie el intendente Julio Zamora",0.123,0.632,0.674,0.302,0.563
"P47","Es kirchnerista",0.174,0.222,0.191,0.136,0.141
"P47","Forma parte del Frente de Todos",0.392,0.308,0.157,0.333,0.165
"P47","Es un hombre de Massa",0.116,0.159,0.122,0.118,0.238
"P47","Es un peronista independiente de centro",0.17,0.068,0.188,0.086,0.136
"P47","Es un oportunista y está donde le conviene",0.068,0.182,0.248,0.327,0.185
"P47","No sabe",0.08,0.061,0.094,0,0.135
"P48","El tránsito",0.351,0.226,0.22,0.217,0.286
"P48","El arreglo de las calles",0.114,0.075,0.117,0.132,0.059
"P48","Los parques y espacios públicos",0.087,0.06,0.097,0,0.123
"P48","El sistema de salud",0.053,0.032,0.064,0,0.074
"P48","La limpieza de las calles",0.128,0.097,0.083,0.271,0.144
"P48","El deporte y la cultura",0.062,0.123,0.094,0.245,0.138
"P48","La obra pública",0.038,0.053,0.004,0,0.002
"P48","La luminaria",0.055,0.078,0.061,0,0.033
"P48","No sabe",0.112,0.256,0.26,0.135,0.141
"P49","El tránsito",0.171,0.238,0.275,0.028,0.3
"P49","El arreglo de las calles",0.103,0.09,0.1,0.141,0.131
"P49","Los parques y espacios públicos",0.197,0.138,0.13,0.063,0.14
"P49","El sistema de salud",0.081,0.075,0.075,0.481,0.091
"P49","La limpieza de las calles",0.211,0.177,0.198,0.141,0.104
"P49","El deporte y la cultura",0.02,0.058,0.071,0.041,0.026
"P49","La obra pública",0.038,0.05,0.029,0,0.006
"P49","La luminaria",0.036,0.004,0.021,0,0.012
"P49","No sabe",0.143,0.17,0.101,0.105,0.19
